municipio_norm,assoc
PONTE SERRADA,AMAI
PORTO BELO,AMFRI
PORTO UNIAO,AMPLANORTE
POUSO REDONDO,AMAVI
PRAIA GRANDE,AMESC
PRESIDENTE CASTELLO BRANCO,AMAUC
PRESIDENTE GETULIO,AMAVI
PRESIDENTE NEREU,AMAVI
PRINCESA,AMEOSC
QUILOMBO,AMNOROESTE
RANCHO QUEIMADO,GRANFPOLIS
RIO DAS ANTAS,AMARP
RIO DO CAMPO,AMAVI
RIO DO OESTE,AMAVI
RIO DO SUL,AMAVI
RIO DOS CEDROS,AMVE
RIO FORTUNA,AMUREL
RIO NEGRINHO,AMUNESC
RIO RUFINO,AMURES
RIQUEZA,AMERIOS
RODEIO,AMVE
ROMELANDIA,AMERIOS
SALETE,AMAVI
SALTINHO,AMERIOS
SALTO VELOSO,AMARP
SANGAO,AMUREL
SANTA CECILIA,AMURC
SANTA HELENA,AMEOSC
SANTA ROSA DE LIMA,AMUREL
SANTA ROSA DO SUL,AMESC
SANTA TEREZINHA,AMAVI
SANTA TEREZINHA DO PROGRESSO,AMERIOS
SANTIAGO DO SUL,AMOSC
SANTO AMARO DA IMPERATRIZ,GRANFPOLIS
SAO BENTO DO SUL,AMUNESC
SAO BERNARDINO,AMNOROESTE
SAO BONIFACIO,GRANFPOLIS
SAO CARLOS,AMOSC
SAO CRISTOVAO DO SUL,AMURC
SAO DOMINGOS,AMAI
SAO FRANCISCO DO SUL,AMUNESC
SAO JOAO BATISTA,GRANFPOLIS
SAO JOAO DO ITAPERIU,AMVALI
SAO JOAO DO OESTE,AMEOSC
SAO JOAO DO SUL,AMESC
SAO JOAQUIM,AMURES
SAO JOSE,GRANFPOLIS
SAO JOSE DO CEDRO,AMEOSC
SAO JOSE DO CERRITO,AMURES
SAO LOURENCO DO OESTE,AMNOROESTE
SAO LUDGERO,AMUREL
SAO MARTINHO,AMUREL
SAO MIGUEL DA BOA VISTA,AMERIOS
SAO MIGUEL DO OESTE,AMEOSC
SAO PEDRO DE ALCANTARA,GRANFPOLIS
SAUDADES,AMERIOS
SCHROEDER,AMVALI
SEARA,AMAUC
SERRA ALTA,AMOSC
SIDEROPOLIS,AMREC
SOMBRIO,AMESC
