assoc,ano,tmi
AMAI,2010,8.011310084825636
AMAI,2011,11.14341085271318
AMAI,2012,13.5678391959799
AMAI,2013,15.88830043331729
AMAI,2014,11.7426021606388
AMAI,2015,8.98972602739726
AMAI,2016,11.11605157847932
AMAI,2017,9.036144578313253
AMAI,2018,9.836065573770492
AMAI,2019,15.97582037996546
AMAI,2020,10.77586206896552
AMAI,2021,9.22671353251318
AMAI,2022,10.87429317094389
AMAI,2023,12.99283154121864
AMARP,2010,12.78772378516624
AMARP,2011,14.29933269780744
AMARP,2012,10.19066403681788
AMARP,2013,9.89792762140427
AMARP,2014,12.34567901234568
AMARP,2015,9.201543484713566
AMARP,2016,14.6609651802077
AMARP,2017,11.46131805157593
AMARP,2018,11.58536585365854
AMARP,2019,10.57871810827629
AMARP,2020,10.62168072477351
AMARP,2021,11.19641714651312
AMARP,2022,10.66499372647428
AMARP,2023,8.873929008567933
AMAUC,2010,22.30897936419409
AMAUC,2011,25.64102564102564
AMAUC,2012,18.11805961426067
AMAUC,2013,18.62630966239814
AMAUC,2014,21.3903743315508
AMAUC,2015,16.04554865424431
AMAUC,2016,26.77077523703291
AMAUC,2017,17.45877788554801
AMAUC,2018,19.38775510204082
AMAUC,2019,16.48884578079534
AMAUC,2020,16.40135069946936
AMAUC,2021,17.36111111111111
AMAUC,2022,16.51287032540068
AMAUC,2023,14.0913508260447
AMAVI,2010,12.18499030739407
AMAVI,2011,8.89248181083266
AMAVI,2012,12.99390082206311
AMAVI,2013,12.40432831881763
AMAVI,2014,10.93041855505199
AMAVI,2015,9.147095179233622
AMAVI,2016,6.946231026498586
AMAVI,2017,13.55421686746988
AMAVI,2018,6.110975311659741
AMAVI,2019,8.830022075055188
AMAVI,2020,7.786988193921125
AMAVI,2021,11.07475459350617
AMAVI,2022,10.5521472392638
AMAVI,2023,7.805108798486282
AMEOSC,2010,10.7197549770291
AMEOSC,2011,10.60070671378092
AMEOSC,2012,9.32744231713304
AMEOSC,2013,11.28783991790662
AMEOSC,2014,11.8595825426945
AMEOSC,2015,10.98398169336384
AMEOSC,2016,10.36757775683318
AMEOSC,2017,12.44239631336406
AMEOSC,2018,14.52564684521108
AMEOSC,2019,12.02137132680321
AMEOSC,2020,7.215007215007215
AMEOSC,2021,8.932769158439116
AMEOSC,2022,11.53846153846154
AMEOSC,2023,10.81568273997296
AMERIOS,2010,4.858299595141701
AMERIOS,2011,13.38912133891213
AMERIOS,2012,7.892659826361484
AMERIOS,2013,12.22307104660046
AMERIOS,2014,3.607503607503607
AMERIOS,2015,9.95732574679943
AMERIOS,2016,7.959479015918958
AMERIOS,2017,11.9549929676512
AMERIOS,2018,8.977900552486188
AMERIOS,2019,10.72194424588992
AMERIOS,2020,8.252063015753938
AMERIOS,2021,14.77832512315271
AMERIOS,2022,7.790368271954674
AMERIOS,2023,10.05747126436782
AMESC,2010,10.90604026845638
AMESC,2011,14.76170392239561
AMESC,2012,7.509386733416771
AMESC,2013,10.86502298370246
AMESC,2014,9.030231645072634
AMESC,2015,11.62340178225494
AMESC,2016,12.89343951459992
AMESC,2017,10.74870274277242
